mac,total_queries,unique_domains,domain_diversity_ratio,qtype_1_count,qtype_28_count,qtype_other_count,qtype_1_ratio,qtype_28_ratio,active_hours,active_days,time_span_seconds,time_span_hours,queries_per_hour,avg_query_interval,std_query_interval,min_query_interval,max_query_interval,median_query_interval,top_domain_frequency,top_domain_ratio,peak_hour_queries,peak_hour_ratio,domain_entropy,query_burstiness,weekend_query_ratio
b6ac207320e02f90e37334bf026089b3,6246,256,0.04098623118796029,4448,1738,60,0.7121357668908102,0.27825808517451167,21,6,1832728,509.0911111111111,12.268923702808054,293.47125700560446,10831.963679710465,0.0,754440.0,0.0,1727,0.276496958053154,1635,0.2617675312199808,5.465702539567845,36.90979413191257,0.09622158181235992
c3624ed102742e9e727d737af14b1133,20175,12,0.0005947955390334573,10139,10036,0,0.5025526641883519,0.4974473358116481,24,7,2190949,608.5969444444445,33.150018553603935,108.60260731634777,1360.8453594936507,0.0,78597.0,0.0,15962,0.7911771995043371,6041,0.29942998760842626,1.1960275146519326,12.530503577410935,0.32351920693928127
c82d83a47e2f5fd4e028d3d0ce339d4a,230413,1752,0.007603737636331283,122911,105889,1613,0.5334377834583987,0.45956174347801554,24,7,2029932,563.87,408.62787521946547,8.810009895317952,398.4356202058883,0.0,98546.0,0.0,15054,0.0653348552382027,15930,0.06913672405636835,6.406148969451964,45.225331746521135,0.527366077434867
d0d5fd02e0eb4742a179ca5bed698e02,2,1,0.5,1,1,0,0.5,0.5,1,1,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2,1.0,2,1.0,-1.4426951601859516e-10,0.0,0.0
d42d3459697185bab559783fecdaf3a9,6284,467,0.07431572246976448,3238,843,2203,0.5152768936982813,0.1341502227880331,7,4,1653780,459.3833333333333,13.679207633421615,263.21502466974374,10015.895336497626,0.0,551496.0,0.0,750,0.11935073201782304,2675,0.4256842775302355,7.419252449423379,38.05214139680888,0.5991406747294716
dbe534c9f1c15073e1d98871ade0e813,5499,326,0.05928350609201673,2174,0,3325,0.39534460811056554,0.0,24,5,2192083,608.9119444444444,9.030862426285866,398.70552928337577,25719.507687389556,0.0,1907070.0,0.0,328,0.0596472085833788,748,0.13602473176941263,6.809300027912299,64.50752698016808,0.36442989634478995
dfe69ead2dde867e856bd69fdbc73150,132,3,0.022727272727272728,132,0,0,1.0,0.0,6,7,2139870,594.4083333333333,0.22206956497357316,16334.885496183206,15106.64409540549,0.0,47289.0,21306.0,102,0.7727272727272727,52,0.3939393939393939,0.8798165814887535,0.924808692349591,0.3106060606060606
f2bfcf723afed6da63296e629c510e1a,668,11,0.016467065868263474,668,0,0,1.0,0.0,24,7,2189115,608.0875,1.0985261167184,3282.031484257871,9953.275805722105,0.0,83717.0,0.0,205,0.3068862275449102,219,0.3278443113772455,2.9138281633790237,3.032657015468189,0.33083832335329344
f401021c1fe5585726afdae84ed33cf2,12146,512,0.04215379548822658,11518,48,580,0.948295735221472,0.003951918327021241,24,7,2109448,585.9577777777778,20.728455975212473,173.68859613009468,4115.230890321305,0.0,430305.0,0.0,2603,0.2143092376090894,1508,0.12415610077391734,6.478906842078051,23.693155348201167,0.5004939897908777
f86e2562ec2fda1c5242d460808fc8ca,1,1,1.0,1,0,0,1.0,0.0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,1.0,-1.4426951601859516e-10,0.0,1.0
